,Job_Title,Company,Location,Level,Type,Function,Industry
176,"Machine Learning Analyst, Trust and Safety, Google Cloud",Google,"Hyderabad, Telangana, India",Not Applicable,Customer Service and Product Management,Full-time,"Information Services and Technology, Information and Internet"
177,Data Scientist,Ascendeum,India,Associate,Information Technology,Full-time,Advertising Services
178,Data Scientist- Senior Director - Analytics,Tamcherry - Zaportiv,"Hyderabad, Telangana, India",Executive,Engineering and Information Technology,Full-time,Information Technology & Services
179,,,,,,,
180,Data Scientist (Weekend Virtual Drive),LTIMindtree,"Bangalore Urban, Karnataka, India",Mid-Senior level,Information Technology,Full-time,IT Services and IT Consulting
181,Data Science Intern,NextGen AI systems,India,Entry level,Engineering and Information Technology,Full-time,IT Services and IT Consulting
182,Reporting and Dashboards Analyst,Atos,"Bengaluru, Karnataka, India",Mid-Senior level,Information Technology,Full-time,IT Services and IT Consulting
183,Data Scientist,FanCode,"Mumbai, Maharashtra, India",Entry level,Engineering and Information Technology,Full-time,Spectator Sports
184,,,,,,,
185,Research Analyst,Media.net,"Mumbai, Maharashtra, India",Entry level,Marketing and Research,Full-time,Advertising Services
186,AI ENGINEER,Nexus Hire,"Pune, Maharashtra, India",Mid-Senior level,Engineering and Information Technology,Full-time,Human Resources Services
187,Human Resources Payroll,PW (PhysicsWallah),"Thane, Maharashtra, India",Executive,Human Resources,Full-time,Education
188,,,,,,,
189,Sr. Data Scientist,Quantified HR Private Limited,"Gurgaon, Haryana, India",Mid-Senior level,Engineering and Information Technology,Full-time,"Information Services, Software Development, and Financial Services"
190,Business Analyst,Botminds AI,"Chennai, Tamil Nadu, India",Mid-Senior level,Business Development,Full-time,IT Services and IT Consulting
191,Data Analyst - 1st Party Data,Eli Lilly and Company,"Bengaluru, Karnataka, India",Entry level,Information Technology,Full-time,Pharmaceutical Manufacturing
192,Business Intelligence Specialist,EXL,"Bengaluru, Karnataka, India",Mid-Senior level,Consulting,Full-time,IT Services and IT Consulting
193,Project Analyst [T500-10432],FedEx ACC,"Hyderabad, Telangana, India",Mid-Senior level,"Information Technology, Engineering, and Analyst",Full-time,"Transportation, Logistics, Supply Chain and Storage"
194,Data Center Administrator - Freelancer,Next Labs,"Bengaluru, Karnataka, India",Not Applicable,Information Technology,Contract,"Technology, Information and Internet"
195,Data Entry Work Job in Gurgaon,Motion Advertising Services,"Gurgaon, Haryana, India",Entry level,Administrative,Full-time,IT Services and IT Consulting
196,Data Scientist-Gurgaon,EXL,"Gurugram, Haryana, India",Associate,Consulting,Full-time,IT Services and IT Consulting
197,AI Engineer,FindErnest,"Hyderabad, Telangana, India",Associate,Engineering and Information Technology,Full-time,IT Services and IT Consulting
198,Business Process Analyst,Randstad Sourceright,"Bengaluru, Karnataka, India",Associate,Quality Assurance and Customer Service,Full-time,"IT Services and IT Consulting, Human Resources Services, and Business Consulting and Services"
199,AI Engineer,FindErnest,"Bengaluru, Karnataka, India",Associate,Engineering and Information Technology,Full-time,IT Services and IT Consulting
200,Data Visualization Engineer,RipplesIndia Group,"Kochi, Kerala, India",Mid-Senior level,Information Technology,Full-time,"Banking, Airlines and Aviation, and Accounting"
201,Data Scientist,Falabella India,"Bengaluru, Karnataka, India",Mid-Senior level,Engineering,Full-time,Engineering Services and Retail
202,Business Analyst,Pranathi Software Services Pvt. Ltd,"Hyderabad, Telangana, India",Mid-Senior level,Information Technology,Full-time,Information Services
203,Project Analyst [T500-10426],FedEx ACC,"Hyderabad, Telangana, India",Mid-Senior level,"Information Technology, Engineering, and Analyst",Full-time,"Transportation, Logistics, Supply Chain and Storage"
204,,,,,,,
205,Marketing Analyst,Activate Talent,India,Mid-Senior level,Marketing and Sales,Full-time,Internet Publishing
206,Marketing Analyst,Activate Talent,India,Mid-Senior level,Marketing and Sales,Full-time,Internet Publishing
207,Data Analytics Specialist,Uber,"Hyderabad, Telangana, India",Not Applicable,"Research, Analyst, and Information Technology",Full-time,Internet Marketplace Platforms
208,Data Entry Work Job in Delhi/NCR,Motion Advertising Services,"Ghaziabad, Uttar Pradesh, India",Entry level,Administrative,Full-time,IT Services and IT Consulting
209,,,,,,,
210,Corporate Secretary,FirstCry.com (BrainBees Solutions Pvt. Ltd.),"Pune, Maharashtra, India",Mid-Senior level,Other,Full-time,Retail and International Trade and Development
211,Analytics Executive,Jellyfish,Mumbai Metropolitan Region,Entry level,"Advertising, Marketing, and Strategy/Planning",Full-time,Advertising Services and Public Relations and Communications Services
212,Data Scientist,Nexwave,"Chennai, Tamil Nadu, India",Mid-Senior level,Information Technology,Full-time,IT Services and IT Consulting
