,Job_Title,Company,Location,Level,Type,Function,Industry
633,Laboratory Specialist,PSI CRO AG,"Bengaluru, Karnataka, India",Associate,Research,Full-time,Pharmaceutical Manufacturing
634,Technical Lead – Data,PreludeSys,"Chennai, Tamil Nadu, India",Mid-Senior level,Information Technology,Full-time,IT Services and IT Consulting
635,Associate Analyst - Medicaid,IntegriChain,"Pune, Maharashtra, India",Entry level,Business Development and Sales,Full-time,Pharmaceutical Manufacturing
636,Academic Program Management Associate,MyCaptain,"Bengaluru North, Karnataka, India",Associate,Education and Training,Full-time,E-Learning Providers
637,Accounts Receivable (AR),Jobstania,"Mysuru, Karnataka, India",Executive,Health Care Provider,Full-time,Business Consulting and Services
638,Data Consultant,Intense Technologies Limited,"Mumbai, Maharashtra, India",Mid-Senior level,Information Technology,Full-time,Accounting
639,Offshore - Remote - Data Analyst,"Resource Informatics Group, Inc","Hyderabad, Telangana, India",Mid-Senior level,Information Technology,Contract,IT Services and IT Consulting
640,NLP/ML Engineer,Acme Services,Pune/Pimpri-Chinchwad Area,Mid-Senior level,Engineering and Information Technology,Full-time,IT Services and IT Consulting
641,Data Scientist,Revature,"Mumbai, Maharashtra, India",Mid-Senior level,Engineering and Information Technology,Full-time,Software Development
642,Associate - Operations,WNS,"Visakhapatnam, Andhra Pradesh, India",Associate,Research,Full-time,Outsourcing/Offshoring
643,Sr. Data Analyst,Vonage,"Bengaluru, Karnataka, India",Mid-Senior level,Analyst,Full-time,Software Development and Telecommunications
644,Data Analyst - Tripura - Project,ConveGenius,"Agartala, Tripura, India",Mid-Senior level,Analyst,Full-time,Education
645,Assistant Manager/Manager - Credit Risk & Data Science,Meesho,"Bengaluru, Karnataka, India",Not Applicable,Accounting/Auditing and Finance,Full-time,"Transportation, Logistics, Supply Chain and Storage"
646,Wipro|| ESG Business Analyst -BFSI || PAN India,Wipro,"Bengaluru, Karnataka, India",Mid-Senior level,Other,Full-time,Banking
647,Data Engineer -Python,Creditsafe Technology,"Hyderabad, Telangana, India",Mid-Senior level,"Information Technology, Business Development, and Analyst",Full-time,IT Services and IT Consulting and Financial Services
648,,,,,,,
649,Operations Manager,The Hiring Company,"Lucknow, Uttar Pradesh, India",Mid-Senior level,"Consulting, Management, and Public Relations",Contract,"Public Relations and Communications Services, Political Organizations, and Business Consulting and Services"
650,CRM Manager,MyTeam.win,India,Mid-Senior level,Other,Full-time,"Technology, Information and Internet"
651,Accounts Receivable (AR),Jobstania,"Mysuru, Karnataka, India",Executive,Health Care Provider,Full-time,Business Consulting and Services
652,Data Consultant,Intense Technologies Limited,"Mumbai, Maharashtra, India",Mid-Senior level,Information Technology,Full-time,Accounting
653,Offshore - Remote - Data Analyst,"Resource Informatics Group, Inc","Hyderabad, Telangana, India",Mid-Senior level,Information Technology,Contract,IT Services and IT Consulting
654,AI Safety Data Scientist,Google,"Hyderabad, Telangana, India",Not Applicable,Customer Service and Product Management,Full-time,"Information Services and Technology, Information and Internet"
655,NLP/ML Engineer,Acme Services,Pune/Pimpri-Chinchwad Area,Mid-Senior level,Engineering and Information Technology,Full-time,IT Services and IT Consulting
656,Data Scientist,Revature,"Mumbai, Maharashtra, India",Mid-Senior level,Engineering and Information Technology,Full-time,Software Development
657,Compliance Associate,Indian School of Business,"Mohali district, Punjab, India",Associate,Human Resources,Full-time,"IT Services and IT Consulting, Higher Education, and Manufacturing"
658,Associate - Operations,WNS,"Visakhapatnam, Andhra Pradesh, India",Associate,Research,Full-time,Outsourcing/Offshoring
659,Sr. Data Analyst,Vonage,"Bengaluru, Karnataka, India",Mid-Senior level,Analyst,Full-time,Software Development and Telecommunications
660,Data Analyst - Tripura - Project,ConveGenius,"Agartala, Tripura, India",Mid-Senior level,Analyst,Full-time,Education
661,Assistant Manager/Manager - Credit Risk & Data Science,Meesho,"Bengaluru, Karnataka, India",Not Applicable,Accounting/Auditing and Finance,Full-time,"Transportation, Logistics, Supply Chain and Storage"
662,Wipro|| ESG Business Analyst -BFSI || PAN India,Wipro,"Bengaluru, Karnataka, India",Mid-Senior level,Other,Full-time,Banking
663,Data Engineer -Python,Creditsafe Technology,"Hyderabad, Telangana, India",Mid-Senior level,"Information Technology, Business Development, and Analyst",Full-time,IT Services and IT Consulting and Financial Services
664,"Senior Data Analyst, Contract",TechnologyAdvice,"Bengaluru, Karnataka, India",Mid-Senior level,Information Technology,Contract,"Technology, Information and Internet"
665,Operations Manager,The Hiring Company,"Lucknow, Uttar Pradesh, India",Mid-Senior level,"Consulting, Management, and Public Relations",Contract,"Public Relations and Communications Services, Political Organizations, and Business Consulting and Services"
666,CRM Manager,MyTeam.win,India,Mid-Senior level,Other,Full-time,"Technology, Information and Internet"
667,Tableau Developer - Data Visualization,Macropace Technologies,"Bengaluru, Karnataka, India",Mid-Senior level,Information Technology,Full-time,"Software Development, Technology, Information and Internet, and Data Infrastructure and Analytics"
668,Engineer 2,JCPenney India,"Bengaluru, Karnataka, India",Associate,Engineering,Full-time,Retail
669,Data Scientist,Virtusa,"Andhra Pradesh, India",Entry level,Engineering and Information Technology,Full-time,IT Services and IT Consulting
670,Data Scientist,Ericsson,"Noida, Uttar Pradesh, India",Not Applicable,Other,Full-time,Telecommunications
671,Intern - Big Data,Seagate Technology,"Pune, Maharashtra, India",Not Applicable,Information Technology,Internship,"IT Services and IT Consulting, Computer Hardware Manufacturing, and Software Development"
672,Jio sale executive,Naukripay,"Bengaluru, Karnataka, India",Mid-Senior level,Sales and Business Development,Full-time,Human Resources Services
673,BI Intern,Assurant,Greater Kolkata Area,Internship,Business Development and Sales,Full-time,Insurance and Consumer Services
674,Data Engineer,Ascendion,"Bengaluru, Karnataka, India",Mid-Senior level,Engineering,Full-time,IT Services and IT Consulting
675,"Lab Assistant Science - International Curriculum - TSMS, Noida",Shri Educare Limited,"Noida, Uttar Pradesh, India",Entry level,"Research, Analyst, and Information Technology",Internship,Education Administration Programs
676,Performance Testing ( Preferred Immediate Joiners ),Neev,"Bengaluru, Karnataka, India",Mid-Senior level,Human Resources,Full-time,IT Services and IT Consulting
677,"Social Communications Manager, India",Meta,"Gurgaon, Haryana, India",Not Applicable,"Marketing, Public Relations, and Writing/Editing",Full-time,"Technology, Information and Internet"
678,Data Engineer,AMBC INC,"Bangalore Rural, Karnataka, India",Associate,Consulting,Contract,Information Technology & Services
679,Customer Success Analyst,FalconBrick Technologies,Greater Bengaluru Area,Associate,Engineering and Information Technology,Full-time,Software Development and Real Estate
680,Executive Assistant,Pinnacle,"Hyderabad, Telangana, India",Mid-Senior level,Administrative,Full-time,Engineering Services
681,Management Trainee,Analytics India Magazine,"Bengaluru, Karnataka, India",Internship,"Business Development, Marketing, and Advertising",Internship,"Advertising Services, Research Services, and Technology, Information and Media"
682,Data Architect,Deutsche Telekom Digital Labs,"Gurugram, Haryana, India",Mid-Senior level,Product Management,Full-time,Telecommunications
683,Key Account Manager,Delhivery,"Goa, India",Associate,Business Development and Sales,Full-time,"Transportation, Logistics, Supply Chain and Storage"
684,Data Scientist,Revature,"Mumbai, Maharashtra, India",Mid-Senior level,Engineering and Information Technology,Full-time,Software Development
685,Support Executive,ManVision Consulting,Pune/Pimpri-Chinchwad Area,Mid-Senior level,Administrative,Full-time,IT Services and IT Consulting
686,,,,,,,
687,Assistant Manager - L&D,Dr Lal PathLabs,"Gurugram, Haryana, India",Associate,Human Resources,Full-time,"Technology, Information and Internet, Banking, and Retail"
688,ZoomCar - Data Scientist - Machine Learning/Deep Learning,Zoomcar,"Bengaluru, Karnataka, India",Entry level,Information Technology,Full-time,"Software Development, Technology, Information and Internet, and Data Infrastructure and Analytics"
689,Regional Manager AFR- North,DHL Global Forwarding,"New Delhi, Delhi, India",Mid-Senior level,"Strategy/Planning, Business Development, and Supply Chain",Full-time,"Transportation, Logistics, Supply Chain and Storage and Freight and Package Transportation"
690,Head of Expansion,HCapital Technologies Private Limited,"Gurugram, Haryana, India",Director,Business Development,Full-time,Alternative Fuel Vehicle Manufacturing
691,"Associate -,SAAS Operations Executive",Software@Work (India) Pvt Ltd,"Mumbai, Maharashtra, India",Entry level,Management and Manufacturing,Full-time,IT Services and IT Consulting
692,"VP, Enterprise Risk Analytics",Citi,"Mumbai, Maharashtra, India",Not Applicable,Finance and Sales,Full-time,"Banking, Financial Services, and Investment Banking"
693,Financial Analyst,Electronic Arts (EA),"Hyderabad, Telangana, India",Not Applicable,Accounting/Auditing,Full-time,"IT Services and IT Consulting, Software Development, and Computer Games"
694,Python Developer,Coditas,"Pune, Maharashtra, India",Mid-Senior level,Information Technology,Full-time,Software Development
695,Artificial Intelligence Consultant,eProSoft,India,Mid-Senior level,Information Technology,Full-time,Information Services
696,Data Engineer,Ascendion,"Bengaluru, Karnataka, India",Mid-Senior level,Engineering,Full-time,IT Services and IT Consulting
697,"Lab Assistant Science - International Curriculum - TSMS, Noida",Shri Educare Limited,"Noida, Uttar Pradesh, India",Entry level,"Research, Analyst, and Information Technology",Internship,Education Administration Programs
698,Performance Testing ( Preferred Immediate Joiners ),Neev,"Bengaluru, Karnataka, India",Mid-Senior level,Human Resources,Full-time,IT Services and IT Consulting
699,"Social Communications Manager, India",Meta,"Gurgaon, Haryana, India",Not Applicable,"Marketing, Public Relations, and Writing/Editing",Full-time,"Technology, Information and Internet"
700,Executive Assistant,Pinnacle,"Hyderabad, Telangana, India",Mid-Senior level,Administrative,Full-time,Engineering Services
701,Management Trainee,Analytics India Magazine,"Bengaluru, Karnataka, India",Internship,"Business Development, Marketing, and Advertising",Internship,"Advertising Services, Research Services, and Technology, Information and Media"
702,Data Architect,Deutsche Telekom Digital Labs,"Gurugram, Haryana, India",Mid-Senior level,Product Management,Full-time,Telecommunications
703,Key Account Manager,Delhivery,"Goa, India",Associate,Business Development and Sales,Full-time,"Transportation, Logistics, Supply Chain and Storage"
704,Data Scientist,Revature,"Mumbai, Maharashtra, India",Mid-Senior level,Engineering and Information Technology,Full-time,Software Development
705,Support Executive,ManVision Consulting,Pune/Pimpri-Chinchwad Area,Mid-Senior level,Administrative,Full-time,IT Services and IT Consulting
706,Assistant Manager - L&D,Dr Lal PathLabs,"Gurugram, Haryana, India",Associate,Human Resources,Full-time,"Technology, Information and Internet, Banking, and Retail"
707,ZoomCar - Data Scientist - Machine Learning/Deep Learning,Zoomcar,"Bengaluru, Karnataka, India",Entry level,Information Technology,Full-time,"Software Development, Technology, Information and Internet, and Data Infrastructure and Analytics"
708,Regional Manager AFR- North,DHL Global Forwarding,"New Delhi, Delhi, India",Mid-Senior level,"Strategy/Planning, Business Development, and Supply Chain",Full-time,"Transportation, Logistics, Supply Chain and Storage and Freight and Package Transportation"
709,Regional Manager AFR- North,DHL Global Forwarding,"New Delhi, Delhi, India",Mid-Senior level,"Strategy/Planning, Business Development, and Supply Chain",Full-time,"Transportation, Logistics, Supply Chain and Storage and Freight and Package Transportation"
710,"Associate -,SAAS Operations Executive",Software@Work (India) Pvt Ltd,"Mumbai, Maharashtra, India",Entry level,Management and Manufacturing,Full-time,IT Services and IT Consulting
711,Data Engineer,RandomTrees,India,Mid-Senior level,Engineering,Full-time,IT Services and IT Consulting
712,Lead Data Scientist,Freshworks,"Bengaluru, Karnataka, India",Associate,Information Technology,Full-time,Software Development
713,Product Manager,Quantzig,"Bengaluru, Karnataka, India",Mid-Senior level,Product Management,Full-time,Market Research
714,Business Development Executive-Fresher,Tutorac Inc,"Hyderabad, Telangana, India",Associate,"Marketing, Public Relations, and Writing/Editing",Full-time,E-Learning Providers
715,Data Engineer,Lera Technologies,"Hyderabad, Telangana, India",Mid-Senior level,Engineering,Full-time,"Technology, Information and Media"
716,Associate Data Analyst,Eaton,"Pune, Maharashtra, India",Not Applicable,Other,Full-time,"Appliances, Electrical, and Electronics Manufacturing"
717,Logistic Executive,Selec Controls Pvt. Ltd.,"Navi Mumbai, Maharashtra, India",Mid-Senior level,Management and Manufacturing,Full-time,Pharmaceutical Manufacturing
718,Manager Research - Real Estate Market,YO HR Consultancy,"Mumbai, Maharashtra, India",Associate,"Research, Analyst, and Information Technology",Full-time,Business Consulting and Services
719,Project Associate,Talhive,"Mumbai, Maharashtra, India",Associate,Project Management and Quality Assurance,Contract,"Technology, Information and Media"
720,Senior Data Analyst,Microsoft,"Bengaluru, Karnataka, India",Not Applicable,Information Technology,Full-time,Software Development
721,Financial Data Analyst,Moody's Corporation,"Bengaluru, Karnataka, India",Not Applicable,Finance,Full-time,Financial Services
722,Data Engineer - Cyber Security,_VOIS,"Pune, Maharashtra, India",Mid-Senior level,Information Technology,Full-time,IT Services and IT Consulting and Telecommunications
723,Vice President - Business Development Support,TresVista,"Pune, Maharashtra, India",Mid-Senior level,Business Development,Full-time,Financial Services
724,Customer Success Manager,Sulekha,"Kochi, Kerala, India",Mid-Senior level,"Marketing, Advertising, and Analyst",Full-time,"Technology, Information and Internet"
725,"Account Director, LinkedIn Talent Solutions (Search and Staffing)",LinkedIn,"Hyderabad, Telangana, India",Not Applicable,Sales,Full-time,"Technology, Information and Internet"
726,Talent Acquisition Specialist,Bajaj Housing Finance Limited,"Pune, Maharashtra, India",Associate,Human Resources and Consulting,Full-time,"Human Resources Services, Financial Services, and Business Consulting and Services"
727,Lead - Strategy- Founder's office,Atrios Consulting,"Mumbai, Maharashtra, India",Mid-Senior level,Business Development and Sales,Full-time,Non-profit Organizations and Civic and Social Organizations
728,Campaign Manager,PhonePe,"Bengaluru, Karnataka, India",Associate,Analyst and Customer Service,Full-time,"Technology, Information and Internet"
729,Knowledge Manager,CertifyOS,India,Mid-Senior level,Information Technology,Full-time,Internet Publishing
730,Software engineer (Remote),InfiHire,India,Associate,Engineering and Information Technology,Full-time,"Technology, Information and Internet"
731,Software engineer (Remote),InfiHire,India,Associate,Engineering and Information Technology,Full-time,"Technology, Information and Internet"
732,Senior Business Process Analyst - Capacity Management,Oracle,"Bengaluru, Karnataka, India",Mid-Senior level,Business Development,Full-time,Software Development
733,Language Data Annotator (Hindi),Framewirk.com,"Bengaluru, Karnataka, India",Entry level,Customer Service and Sales,Full-time,"IT Services and IT Consulting, Software Development, and Technology, Information and Internet"
734,"Data Analytics (SAS, SQL)- Analyst",JPMorgan Chase & Co.,"Mumbai, Maharashtra, India",Not Applicable,Information Technology,Full-time,Financial Services
735,Analyst-EPM (Forecasting),Mercados Energy Markets India,"Mumbai, Maharashtra, India",Associate,"Consulting, Distribution, and Information Technology",Full-time,"Services for Renewable Energy, Electric Power Transmission, Control, and Distribution, and Electric Power Generation"
736,Analyst,HSBC,"Mumbai, Maharashtra, India",Not Applicable,Business Development and Sales,Full-time,"Banking, Financial Services, and Investment Banking"
737,Program Manager,PI Industries Ltd,"Mumbai, Maharashtra, India",Mid-Senior level,"Management, Consulting, and Project Management",Full-time,"Chemical Manufacturing, Business Consulting and Services, and Pharmaceutical Manufacturing"
738,Excellent Opportunity || Immediate Joiner || Marketing Analyst || WFH,IGT Solutions,"Pune, Maharashtra, India",Mid-Senior level,Information Technology,Full-time,IT Services and IT Consulting and Information Services
739,Analyst/Consultant - Commercial Strategy and Operations (Hiring for BMS India),PharmaACE,Greater Hyderabad Area,Mid-Senior level,Consulting and Project Management,Full-time,"Business Consulting and Services, Biotechnology Research, and Pharmaceutical Manufacturing"
740,Data Scientist,66degrees,"Mysuru, Karnataka, India",Entry level,Engineering and Information Technology,Full-time,Business Consulting and Services
741,Data Engineer in an International Airlines,RipplesIndia Group,"Kochi, Kerala, India",Entry level,Information Technology,Full-time,"Aviation and Aerospace Component Manufacturing, Computer and Network Security, and Airlines and Aviation"
742,Consultant Forecasting (Major Markets) - (Hiring for BMS India),PharmaACE,Greater Hyderabad Area,Mid-Senior level,Consulting and Project Management,Full-time,"Business Consulting and Services, Biotechnology Research, and Pharmaceutical Manufacturing"
743,"Manager, Data, Insights & Analytics",Standard Chartered,"Bangalore Rural, Karnataka, India",Mid-Senior level,Information Technology,Full-time,Banking
744,Master Data Analyst,Energy Jobline,"Bengaluru, Karnataka, India",Mid-Senior level,Information Technology,Full-time,Staffing and Recruiting
745,"Senior Software Engineer, Data Science",LinkedIn,"Bengaluru, Karnataka, India",Not Applicable,Engineering,Full-time,"IT Services and IT Consulting and Technology, Information and Internet"
746,Big Data Specialist,Coforge,"Pune, Maharashtra, India",Mid-Senior level,Information Technology,Full-time,IT Services and IT Consulting
747,,,,,,,
748,"Senior Manager, Data, Insights & Analytics",Standard Chartered,"Bangalore Rural, Karnataka, India",Mid-Senior level,Information Technology,Full-time,Banking
749,GM - Business Excellence,Antal International,"Delhi, Delhi, India",Mid-Senior level,Management and Manufacturing,Full-time,Building Materials
750,,,,,,,
751,Business Intelligence Manager,DISCO,"Gurugram, Haryana, India",Mid-Senior level,"Research, Analyst, and Information Technology",Full-time,Software Development
752,Director Data Science,Lowe's India,"Bengaluru, Karnataka, India",Director,Engineering and Information Technology,Full-time,Retail
753,Lead-Applied Data Scientist,Tesco Bengaluru,"Bengaluru, Karnataka, India",Not Applicable,Other,Full-time,Retail
754,Executive Assistant,Talent Integrators,"Noida, Uttar Pradesh, India",Mid-Senior level,Administrative,Full-time,Financial Services
755,"Senior Software Engineer, Data Science",LinkedIn,"Bengaluru, Karnataka, India",Not Applicable,Engineering,Full-time,"IT Services and IT Consulting and Technology, Information and Internet"
756,Big Data Specialist,Coforge,"Pune, Maharashtra, India",Mid-Senior level,Information Technology,Full-time,IT Services and IT Consulting
757,"Business Operations Analyst, Associate",Qualcomm,"Bengaluru, Karnataka, India",Not Applicable,Other,Full-time,Telecommunications
758,"Senior Manager, Data, Insights & Analytics",Standard Chartered,"Bangalore Rural, Karnataka, India",Mid-Senior level,Information Technology,Full-time,Banking
759,GM - Business Excellence,Antal International,"Delhi, Delhi, India",Mid-Senior level,Management and Manufacturing,Full-time,Building Materials
760,Product Analyst,Visa,"Bengaluru East, Karnataka, India",Mid-Senior level,Project Management,Full-time,IT Services and IT Consulting
761,Business Intelligence Manager,DISCO,"Gurugram, Haryana, India",Mid-Senior level,"Research, Analyst, and Information Technology",Full-time,Software Development
762,Director Data Science,Lowe's India,"Bengaluru, Karnataka, India",Director,Engineering and Information Technology,Full-time,Retail
763,Lead-Applied Data Scientist,Tesco Bengaluru,"Bengaluru, Karnataka, India",Not Applicable,Other,Full-time,Retail
764,Finance and Accounting Specialist,Wipro,"Chennai, Tamil Nadu, India",Mid-Senior level,Accounting/Auditing and Finance,Full-time,IT Services and IT Consulting
765,Data Engineer,Ascendion,"Bengaluru, Karnataka, India",Mid-Senior level,Information Technology and Engineering,Full-time,Software Development
766,Senior Research Manager,MetrixLab,"Gurugram, Haryana, India",Mid-Senior level,Research,Full-time,Market Research
767,Associate Product Manager,Keka HR,"Hyderabad, Telangana, India",Entry level,Product Management,Full-time,Software Development
768,Data Engineering (Azure),RecruitingSniper,"Pune, Maharashtra, India",Mid-Senior level,Information Technology,Full-time,"Technology, Information and Internet"
769,"Big Data - Databricks,pyspark",LTIMindtree,"Tamil Nadu, India",Mid-Senior level,"Engineering, Business Development, and Information Technology",Full-time,"IT Services and IT Consulting, Information Services, and Staffing and Recruiting"
770,SEO Expert,Zerozilla,"Bangalore Urban, Karnataka, India",Mid-Senior level,Marketing and Sales,Full-time,Advertising Services
771,AI ML Engineer DB,Energy Jobline,"Bengaluru, Karnataka, India",Entry level,Engineering and Information Technology,Full-time,Staffing and Recruiting
772,MIS Executive,Wipro,"Chennai, Tamil Nadu, India",Not Applicable,Information Technology,Full-time,IT Services and IT Consulting
773,,,,,,,
774,Executive Assistant to Chief Executive Officer,Cloudphysician,"Bangalore Urban, Karnataka, India",Associate,"Administrative, General Business, and Public Relations",Full-time,IT Services and IT Consulting and Hospitals and Health Care
775,Digital Project Manager – SaaS,Sociabble,"Maharashtra, India",Mid-Senior level,Project Management and Information Technology,Full-time,Software Development
776,Applied Data Scientist - 2,Microsoft,"Bengaluru, Karnataka, India",Not Applicable,Engineering and Information Technology,Full-time,Software Development
777,Assc Analytics & Model Analyst,Moody's Corporation,"Noida, Uttar Pradesh, India",Not Applicable,Engineering,Full-time,Financial Services
778,Finance Analyst - Global RTR Process,Boston Consulting Group (BCG),"Gurugram, Haryana, India",Mid-Senior level,Accounting/Auditing and Finance,Full-time,Financial Services and Business Consulting and Services
779,Program Manager,SUN Mobility,"Bengaluru, Karnataka, India",Associate,"Strategy/Planning, Engineering, and Business Development",Full-time,"Wholesale Appliances, Electrical, and Electronics, Motor Vehicle Manufacturing, and Business Consulting and Services"
780,"Analyst, Data Management",BlackRock,"Gurgaon, Haryana, India",Not Applicable,Legal,Full-time,Financial Services
781,Ethical Auditor,QIMA,"Mumbai, Maharashtra, India",Mid-Senior level,Accounting/Auditing and Finance,Full-time,International Trade and Development
782,National Delivery Head,Frankfinn Aviation Services Pvt. Limited,Greater Delhi Area,Mid-Senior level,Training,Full-time,Higher Education
783,Assistant Manager (Karnataka - State Head),Skyfri,"Bengaluru, Karnataka, India",Mid-Senior level,Other,Full-time,Renewable Energy Semiconductor Manufacturing
784,Operations Intern,CareerNinja | LearnTube,"Mumbai, Maharashtra, India",Entry level,Management and Manufacturing,Full-time,Education Administration Programs
785,Senior Data Analyst,Indium Software,"Hyderabad, Telangana, India",Mid-Senior level,Information Technology,Full-time,IT Services and IT Consulting
786,"Data Engineer-Python ,ETL",EXL,"Noida, Uttar Pradesh, India",Associate,Engineering,Full-time,"Information Services and Technology, Information and Media"
787,Assistant Manager - Finance,Jai Kisan,"Mumbai, Maharashtra, India",Mid-Senior level,Accounting/Auditing,Full-time,"Technology, Information and Internet"
788,Analyst,eClerx,"Pune, Maharashtra, India",Entry level,Business Development and Sales,Full-time,Information Technology & Services
789,Brand Executive – Marketing Activation,Unilever,"Mumbai, Maharashtra, India",Entry level,"General Business, Strategy/Planning, and Marketing",Full-time,"Food and Beverage Services, Food and Beverage Manufacturing, and Manufacturing"
790,"Associate, Data Visualization",Ciena,"Haryana, India",Associate,Information Technology,Full-time,"Appliances, Electrical, and Electronics Manufacturing, Computer Networking Products, and Telecommunications"
791,"Analyst, LORMN Insights",Lowe's India,"Bengaluru, Karnataka, India",Entry level,"Research, Analyst, and Information Technology",Full-time,Retail
792,,,,,,,
793,Business Analyst,Nimble AppGenie,"Jaipur, Rajasthan, India",Executive,"Research, Analyst, and Information Technology",Full-time,Software Development
794,"Data Scientists - AI Training (Remote Work, Contract)",Outlier,"Great Nicobar, Andaman and Nicobar Islands, India",Entry level,Engineering and Information Technology,Contract,Consumer Services
